"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2024 04:45 - 03/01/2024 05:00","Spain (ES)","20956.00","21431.00"
"03/01/2024 05:00 - 03/01/2024 05:15","Spain (ES)","20972.00","21381.00"
"03/01/2024 05:15 - 03/01/2024 05:30","Spain (ES)","21220.00","21621.00"
"03/01/2024 05:30 - 03/01/2024 05:45","Spain (ES)","21440.00","21981.00"
"03/01/2024 05:45 - 03/01/2024 06:00","Spain (ES)","21568.00","22466.00"
"03/01/2024 06:00 - 03/01/2024 06:15","Spain (ES)","21972.00","22885.00"
"03/01/2024 06:15 - 03/01/2024 06:30","Spain (ES)","22908.00","23610.00"
"03/01/2024 06:30 - 03/01/2024 06:45","Spain (ES)","23448.00","24445.00"
"03/01/2024 06:45 - 03/01/2024 07:00","Spain (ES)","24152.00","25349.00"
"03/01/2024 07:00 - 03/01/2024 07:15","Spain (ES)","24888.00","26430.00"
"03/01/2024 07:15 - 03/01/2024 07:30","Spain (ES)","25936.00","27324.00"
"03/01/2024 07:30 - 03/01/2024 07:45","Spain (ES)","26684.00","28141.00"
"03/01/2024 07:45 - 03/01/2024 08:00","Spain (ES)","27284.00","28867.00"
"03/01/2024 08:00 - 03/01/2024 08:15","Spain (ES)","27872.00","29739.00"
"03/01/2024 08:15 - 03/01/2024 08:30","Spain (ES)","28856.00","30261.00"
"03/01/2024 08:30 - 03/01/2024 08:45","Spain (ES)","29384.00","30672.00"
"03/01/2024 08:45 - 03/01/2024 09:00","Spain (ES)","29812.00","30984.00"
"03/01/2024 09:00 - 03/01/2024 09:15","Spain (ES)","30180.00","31335.00"
"03/01/2024 09:15 - 03/01/2024 09:30","Spain (ES)","30724.00","31506.00"
"03/01/2024 09:30 - 03/01/2024 09:45","Spain (ES)","30936.00","31629.00"
"03/01/2024 09:45 - 03/01/2024 10:00","Spain (ES)","31136.00","31706.00"
"03/01/2024 10:00 - 03/01/2024 10:15","Spain (ES)","31440.00","31835.00"
"03/01/2024 10:15 - 03/01/2024 10:30","Spain (ES)","31500.00","31810.00"
"03/01/2024 10:30 - 03/01/2024 10:45","Spain (ES)","31636.00","31730.00"
"03/01/2024 10:45 - 03/01/2024 11:00","Spain (ES)","31696.00","31608.00"
"03/01/2024 11:00 - 03/01/2024 11:15","Spain (ES)","31716.00","31479.00"
"03/01/2024 11:15 - 03/01/2024 11:30","Spain (ES)","31604.00","31306.00"
"03/01/2024 11:30 - 03/01/2024 11:45","Spain (ES)","31260.00","31128.00"
"03/01/2024 11:45 - 03/01/2024 12:00","Spain (ES)","30840.00","30964.00"
"03/01/2024 12:00 - 03/01/2024 12:15","Spain (ES)","30688.00","30726.00"
"03/01/2024 12:15 - 03/01/2024 12:30","Spain (ES)","30712.00","30647.00"
"03/01/2024 12:30 - 03/01/2024 12:45","Spain (ES)","30568.00","30633.00"
"03/01/2024 12:45 - 03/01/2024 13:00","Spain (ES)","30640.00","30664.00"
"03/01/2024 13:00 - 03/01/2024 13:15","Spain (ES)","30864.00","30749.00"
"03/01/2024 13:15 - 03/01/2024 13:30","Spain (ES)","30968.00","30788.00"
"03/01/2024 13:30 - 03/01/2024 13:45","Spain (ES)","31124.00","30793.00"
"03/01/2024 13:45 - 03/01/2024 14:00","Spain (ES)","31188.00","30758.00"
"03/01/2024 14:00 - 03/01/2024 14:15","Spain (ES)","31180.00","30757.00"
"03/01/2024 14:15 - 03/01/2024 14:30","Spain (ES)","31172.00","30630.00"
"03/01/2024 14:30 - 03/01/2024 14:45","Spain (ES)","31156.00","30462.00"
"03/01/2024 14:45 - 03/01/2024 15:00","Spain (ES)","31040.00","30296.00"
"03/01/2024 15:00 - 03/01/2024 15:15","Spain (ES)","30788.00","29966.00"
"03/01/2024 15:15 - 03/01/2024 15:30","Spain (ES)","30476.00","29968.00"
"03/01/2024 15:30 - 03/01/2024 15:45","Spain (ES)","30376.00","30112.00"
"03/01/2024 15:45 - 03/01/2024 16:00","Spain (ES)","30360.00","30343.00"
