"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"07/09/2024 23:00 - 07/09/2024 23:15","Spain (ES)","25300.00","25250.00"
"07/09/2024 23:15 - 07/09/2024 23:30","Spain (ES)","24864.00","24836.00"
"07/09/2024 23:30 - 07/09/2024 23:45","Spain (ES)","24420.00","24437.00"
"07/09/2024 23:45 - 08/09/2024 00:00","Spain (ES)","24148.00","24056.00"
"08/09/2024 00:00 - 08/09/2024 00:15","Spain (ES)","23616.00","23332.00"
"08/09/2024 00:15 - 08/09/2024 00:30","Spain (ES)","23400.00","23046.00"
"08/09/2024 00:30 - 08/09/2024 00:45","Spain (ES)","23084.00","22807.00"
"08/09/2024 00:45 - 08/09/2024 01:00","Spain (ES)","22804.00","22591.00"
"08/09/2024 01:00 - 08/09/2024 01:15","Spain (ES)","22376.00","22453.00"
"08/09/2024 01:15 - 08/09/2024 01:30","Spain (ES)","22028.00","22190.00"
"08/09/2024 01:30 - 08/09/2024 01:45","Spain (ES)","21720.00","21869.00"
"08/09/2024 01:45 - 08/09/2024 02:00","Spain (ES)","21532.00","21517.00"
"08/09/2024 02:00 - 08/09/2024 02:15","Spain (ES)","21176.00","21078.00"
"08/09/2024 02:15 - 08/09/2024 02:30","Spain (ES)","20968.00","20778.00"
"08/09/2024 02:30 - 08/09/2024 02:45","Spain (ES)","20904.00","20551.00"
"08/09/2024 02:45 - 08/09/2024 03:00","Spain (ES)","20776.00","20386.00"
"08/09/2024 03:00 - 08/09/2024 03:15","Spain (ES)","20408.00","20227.00"
"08/09/2024 03:15 - 08/09/2024 03:30","Spain (ES)","20436.00","20129.00"
"08/09/2024 03:30 - 08/09/2024 03:45","Spain (ES)","20460.00","20039.00"
"08/09/2024 03:45 - 08/09/2024 04:00","Spain (ES)","20240.00","19953.00"
"08/09/2024 04:00 - 08/09/2024 04:15","Spain (ES)","20184.00","19859.00"
"08/09/2024 04:15 - 08/09/2024 04:30","Spain (ES)","20164.00","19785.00"
"08/09/2024 04:30 - 08/09/2024 04:45","Spain (ES)","20084.00","19720.00"
"08/09/2024 04:45 - 08/09/2024 05:00","Spain (ES)","19964.00","19671.00"
"08/09/2024 05:00 - 08/09/2024 05:15","Spain (ES)","19960.00","19579.00"
"08/09/2024 05:15 - 08/09/2024 05:30","Spain (ES)","19948.00","19588.00"
"08/09/2024 05:30 - 08/09/2024 05:45","Spain (ES)","19836.00","19637.00"
"08/09/2024 05:45 - 08/09/2024 06:00","Spain (ES)","19832.00","19716.00"
"08/09/2024 06:00 - 08/09/2024 06:15","Spain (ES)","19800.00","19813.00"
"08/09/2024 06:15 - 08/09/2024 06:30","Spain (ES)","20128.00","19913.00"
"08/09/2024 06:30 - 08/09/2024 06:45","Spain (ES)","20116.00","20006.00"
"08/09/2024 06:45 - 08/09/2024 07:00","Spain (ES)","20260.00","20084.00"
"08/09/2024 07:00 - 08/09/2024 07:15","Spain (ES)","20360.00","20187.00"
"08/09/2024 07:15 - 08/09/2024 07:30","Spain (ES)","20480.00","20221.00"
"08/09/2024 07:30 - 08/09/2024 07:45","Spain (ES)","20600.00","20230.00"
"08/09/2024 07:45 - 08/09/2024 08:00","Spain (ES)","20736.00","20236.00"
"08/09/2024 08:00 - 08/09/2024 08:15","Spain (ES)","20516.00","20157.00"
"08/09/2024 08:15 - 08/09/2024 08:30","Spain (ES)","20732.00","20239.00"
"08/09/2024 08:30 - 08/09/2024 08:45","Spain (ES)","20760.00","20393.00"
"08/09/2024 08:45 - 08/09/2024 09:00","Spain (ES)","20844.00","20600.00"
"08/09/2024 09:00 - 08/09/2024 09:15","Spain (ES)","21036.00","20847.00"
"08/09/2024 09:15 - 08/09/2024 09:30","Spain (ES)","21276.00","21089.00"
"08/09/2024 09:30 - 08/09/2024 09:45","Spain (ES)","21576.00","21316.00"
"08/09/2024 09:45 - 08/09/2024 10:00","Spain (ES)","21688.00","21521.00"
"08/09/2024 10:00 - 08/09/2024 10:15","Spain (ES)","21768.00","21761.00"
"08/09/2024 10:15 - 08/09/2024 10:30","Spain (ES)","21892.00","21913.00"
"08/09/2024 10:30 - 08/09/2024 10:45","Spain (ES)","22296.00","22034.00"
"08/09/2024 10:45 - 08/09/2024 11:00","Spain (ES)","22344.00","22126.00"
"08/09/2024 11:00 - 08/09/2024 11:15","Spain (ES)","22484.00","22233.00"
"08/09/2024 11:15 - 08/09/2024 11:30","Spain (ES)","22512.00","22271.00"
"08/09/2024 11:30 - 08/09/2024 11:45","Spain (ES)","22660.00","22288.00"
"08/09/2024 11:45 - 08/09/2024 12:00","Spain (ES)","22616.00","22306.00"
"08/09/2024 12:00 - 08/09/2024 12:15","Spain (ES)","22532.00","22241.00"
"08/09/2024 12:15 - 08/09/2024 12:30","Spain (ES)","22568.00","22340.00"
"08/09/2024 12:30 - 08/09/2024 12:45","Spain (ES)","22604.00","22508.00"
"08/09/2024 12:45 - 08/09/2024 13:00","Spain (ES)","22720.00","22726.00"
"08/09/2024 13:00 - 08/09/2024 13:15","Spain (ES)","22736.00","23013.00"
"08/09/2024 13:15 - 08/09/2024 13:30","Spain (ES)","22560.00","23237.00"
"08/09/2024 13:30 - 08/09/2024 13:45","Spain (ES)","23052.00","23419.00"
"08/09/2024 13:45 - 08/09/2024 14:00","Spain (ES)","23332.00","23543.00"
"08/09/2024 14:00 - 08/09/2024 14:15","Spain (ES)","23324.00","23769.00"
"08/09/2024 14:15 - 08/09/2024 14:30","Spain (ES)","23136.00","23726.00"
"08/09/2024 14:30 - 08/09/2024 14:45","Spain (ES)","23016.00","23586.00"
"08/09/2024 14:45 - 08/09/2024 15:00","Spain (ES)","22728.00","23383.00"
"08/09/2024 15:00 - 08/09/2024 15:15","Spain (ES)","22556.00","23089.00"
"08/09/2024 15:15 - 08/09/2024 15:30","Spain (ES)","22180.00","22896.00"
"08/09/2024 15:30 - 08/09/2024 15:45","Spain (ES)","21956.00","22767.00"
"08/09/2024 15:45 - 08/09/2024 16:00","Spain (ES)","21788.00","22700.00"
"08/09/2024 16:00 - 08/09/2024 16:15","Spain (ES)","21700.00","22603.00"
"08/09/2024 16:15 - 08/09/2024 16:30","Spain (ES)","21608.00","22634.00"
"08/09/2024 16:30 - 08/09/2024 16:45","Spain (ES)","21344.00","22700.00"
"08/09/2024 16:45 - 08/09/2024 17:00","Spain (ES)","21404.00","22801.00"
"08/09/2024 17:00 - 08/09/2024 17:15","Spain (ES)","21688.00","22875.00"
"08/09/2024 17:15 - 08/09/2024 17:30","Spain (ES)","21732.00","23046.00"
"08/09/2024 17:30 - 08/09/2024 17:45","Spain (ES)","21976.00","23250.00"
"08/09/2024 17:45 - 08/09/2024 18:00","Spain (ES)","22316.00","23472.00"
"08/09/2024 18:00 - 08/09/2024 18:15","Spain (ES)","22776.00","23730.00"
"08/09/2024 18:15 - 08/09/2024 18:30","Spain (ES)","22864.00","23942.00"
"08/09/2024 18:30 - 08/09/2024 18:45","Spain (ES)","23260.00","24130.00"
"08/09/2024 18:45 - 08/09/2024 19:00","Spain (ES)","23580.00","24308.00"
"08/09/2024 19:00 - 08/09/2024 19:15","Spain (ES)","23836.00","24427.00"
"08/09/2024 19:15 - 08/09/2024 19:30","Spain (ES)","24464.00","24649.00"
"08/09/2024 19:30 - 08/09/2024 19:45","Spain (ES)","24588.00","24919.00"
"08/09/2024 19:45 - 08/09/2024 20:00","Spain (ES)","24748.00","25239.00"
"08/09/2024 20:00 - 08/09/2024 20:15","Spain (ES)","25096.00","25555.00"
"08/09/2024 20:15 - 08/09/2024 20:30","Spain (ES)","25492.00","25966.00"
"08/09/2024 20:30 - 08/09/2024 20:45","Spain (ES)","25844.00","26408.00"
"08/09/2024 20:45 - 08/09/2024 21:00","Spain (ES)","26552.00","26821.00"
"08/09/2024 21:00 - 08/09/2024 21:15","Spain (ES)","27064.00","27505.00"
"08/09/2024 21:15 - 08/09/2024 21:30","Spain (ES)","27456.00","27650.00"
"08/09/2024 21:30 - 08/09/2024 21:45","Spain (ES)","27452.00","27572.00"
"08/09/2024 21:45 - 08/09/2024 22:00","Spain (ES)","27260.00","27312.00"
"08/09/2024 22:00 - 08/09/2024 22:15","Spain (ES)","27108.00","27022.00"
"08/09/2024 22:15 - 08/09/2024 22:30","Spain (ES)","26688.00","26583.00"
"08/09/2024 22:30 - 08/09/2024 22:45","Spain (ES)","26200.00","26139.00"
"08/09/2024 22:45 - 08/09/2024 23:00","Spain (ES)","25912.00","25699.00"
"08/09/2024 23:00 - 08/09/2024 23:15","Spain (ES)","25388.00","25268.00"
"08/09/2024 23:15 - 08/09/2024 23:30","Spain (ES)","24916.00","24828.00"
"08/09/2024 23:30 - 08/09/2024 23:45","Spain (ES)","24468.00","24389.00"
"08/09/2024 23:45 - 09/09/2024 00:00","Spain (ES)","23900.00","23963.00"
"09/09/2024 00:00 - 09/09/2024 00:15","Spain (ES)","23492.00","23341.00"
"09/09/2024 00:15 - 09/09/2024 00:30","Spain (ES)","23096.00","22997.00"
"09/09/2024 00:30 - 09/09/2024 00:45","Spain (ES)","22772.00","22684.00"
"09/09/2024 00:45 - 09/09/2024 01:00","Spain (ES)","22476.00","22400.00"
"09/09/2024 01:00 - 09/09/2024 01:15","Spain (ES)","22168.00","22107.00"
"09/09/2024 01:15 - 09/09/2024 01:30","Spain (ES)","21944.00","21868.00"
"09/09/2024 01:30 - 09/09/2024 01:45","Spain (ES)","21808.00","21645.00"
"09/09/2024 01:45 - 09/09/2024 02:00","Spain (ES)","21580.00","21441.00"
"09/09/2024 02:00 - 09/09/2024 02:15","Spain (ES)","21164.00","21210.00"
"09/09/2024 02:15 - 09/09/2024 02:30","Spain (ES)","21084.00","21051.00"
"09/09/2024 02:30 - 09/09/2024 02:45","Spain (ES)","21016.00","20917.00"
"09/09/2024 02:45 - 09/09/2024 03:00","Spain (ES)","20704.00","20814.00"
"09/09/2024 03:00 - 09/09/2024 03:15","Spain (ES)","20648.00","20674.00"
"09/09/2024 03:15 - 09/09/2024 03:30","Spain (ES)","20652.00","20645.00"
"09/09/2024 03:30 - 09/09/2024 03:45","Spain (ES)","20448.00","20655.00"
"09/09/2024 03:45 - 09/09/2024 04:00","Spain (ES)","20392.00","20690.00"
"09/09/2024 04:00 - 09/09/2024 04:15","Spain (ES)","20516.00","20749.00"
"09/09/2024 04:15 - 09/09/2024 04:30","Spain (ES)","20312.00","20770.00"
"09/09/2024 04:30 - 09/09/2024 04:45","Spain (ES)","20360.00","20769.00"
"09/09/2024 04:45 - 09/09/2024 05:00","Spain (ES)","20348.00","20792.00"
"09/09/2024 05:00 - 09/09/2024 05:15","Spain (ES)","20408.00","20604.00"
"09/09/2024 05:15 - 09/09/2024 05:30","Spain (ES)","20644.00","20851.00"
"09/09/2024 05:30 - 09/09/2024 05:45","Spain (ES)","20908.00","21282.00"
"09/09/2024 05:45 - 09/09/2024 06:00","Spain (ES)","20904.00","21862.00"
"09/09/2024 06:00 - 09/09/2024 06:15","Spain (ES)","21324.00","22522.00"
"09/09/2024 06:15 - 09/09/2024 06:30","Spain (ES)","22368.00","23249.00"
"09/09/2024 06:30 - 09/09/2024 06:45","Spain (ES)","23004.00","23976.00"
"09/09/2024 06:45 - 09/09/2024 07:00","Spain (ES)","23780.00","24666.00"
"09/09/2024 07:00 - 09/09/2024 07:15","Spain (ES)","24312.00","25538.00"
"09/09/2024 07:15 - 09/09/2024 07:30","Spain (ES)","25504.00","26056.00"
"09/09/2024 07:30 - 09/09/2024 07:45","Spain (ES)","26244.00","26444.00"
"09/09/2024 07:45 - 09/09/2024 08:00","Spain (ES)","26748.00","26724.00"
"09/09/2024 08:00 - 09/09/2024 08:15","Spain (ES)","26872.00","26998.00"
"09/09/2024 08:15 - 09/09/2024 08:30","Spain (ES)","27344.00","27164.00"
"09/09/2024 08:30 - 09/09/2024 08:45","Spain (ES)","27596.00","27317.00"
"09/09/2024 08:45 - 09/09/2024 09:00","Spain (ES)","27800.00","27459.00"
"09/09/2024 09:00 - 09/09/2024 09:15","Spain (ES)","27692.00","27623.00"
"09/09/2024 09:15 - 09/09/2024 09:30","Spain (ES)","27740.00","27735.00"
"09/09/2024 09:30 - 09/09/2024 09:45","Spain (ES)","27872.00","27829.00"
"09/09/2024 09:45 - 09/09/2024 10:00","Spain (ES)","27836.00","27904.00"
"09/09/2024 10:00 - 09/09/2024 10:15","Spain (ES)","27824.00","27994.00"
"09/09/2024 10:15 - 09/09/2024 10:30","Spain (ES)","27852.00","28034.00"
"09/09/2024 10:30 - 09/09/2024 10:45","Spain (ES)","27840.00","28058.00"
"09/09/2024 10:45 - 09/09/2024 11:00","Spain (ES)","27916.00","28072.00"
"09/09/2024 11:00 - 09/09/2024 11:15","Spain (ES)","28000.00","28076.00"
"09/09/2024 11:15 - 09/09/2024 11:30","Spain (ES)","27908.00","28083.00"
"09/09/2024 11:30 - 09/09/2024 11:45","Spain (ES)","27844.00","28096.00"
"09/09/2024 11:45 - 09/09/2024 12:00","Spain (ES)","27860.00","28118.00"
"09/09/2024 12:00 - 09/09/2024 12:15","Spain (ES)","27968.00","28120.00"
"09/09/2024 12:15 - 09/09/2024 12:30","Spain (ES)","27984.00","28177.00"
"09/09/2024 12:30 - 09/09/2024 12:45","Spain (ES)","28164.00","28253.00"
"09/09/2024 12:45 - 09/09/2024 13:00","Spain (ES)","28128.00","28336.00"
"09/09/2024 13:00 - 09/09/2024 13:15","Spain (ES)","28212.00","28478.00"
"09/09/2024 13:15 - 09/09/2024 13:30","Spain (ES)","28252.00","28515.00"
"09/09/2024 13:30 - 09/09/2024 13:45","Spain (ES)","28520.00","28506.00"
"09/09/2024 13:45 - 09/09/2024 14:00","Spain (ES)","28544.00","28452.00"
"09/09/2024 14:00 - 09/09/2024 14:15","Spain (ES)","28548.00","28417.00"
"09/09/2024 14:15 - 09/09/2024 14:30","Spain (ES)","28592.00","28289.00"
"09/09/2024 14:30 - 09/09/2024 14:45","Spain (ES)","28596.00","28135.00"
"09/09/2024 14:45 - 09/09/2024 15:00","Spain (ES)","28460.00","27974.00"
"09/09/2024 15:00 - 09/09/2024 15:15","Spain (ES)","28044.00","27746.00"
"09/09/2024 15:15 - 09/09/2024 15:30","Spain (ES)","27956.00","27638.00"
"09/09/2024 15:30 - 09/09/2024 15:45","Spain (ES)","27904.00","27584.00"
"09/09/2024 15:45 - 09/09/2024 16:00","Spain (ES)","27808.00","27583.00"
"09/09/2024 16:00 - 09/09/2024 16:15","Spain (ES)","27788.00","27555.00"
"09/09/2024 16:15 - 09/09/2024 16:30","Spain (ES)","27800.00","27640.00"
"09/09/2024 16:30 - 09/09/2024 16:45","Spain (ES)","27652.00","27759.00"
"09/09/2024 16:45 - 09/09/2024 17:00","Spain (ES)","27948.00","27900.00"
"09/09/2024 17:00 - 09/09/2024 17:15","Spain (ES)","28052.00","28065.00"
"09/09/2024 17:15 - 09/09/2024 17:30","Spain (ES)","28168.00","28211.00"
"09/09/2024 17:30 - 09/09/2024 17:45","Spain (ES)","28304.00","28343.00"
"09/09/2024 17:45 - 09/09/2024 18:00","Spain (ES)","28648.00","28461.00"
"09/09/2024 18:00 - 09/09/2024 18:15","Spain (ES)","28732.00","28580.00"
"09/09/2024 18:15 - 09/09/2024 18:30","Spain (ES)","28764.00","28677.00"
"09/09/2024 18:30 - 09/09/2024 18:45","Spain (ES)","29072.00","28770.00"
"09/09/2024 18:45 - 09/09/2024 19:00","Spain (ES)","29000.00","28872.00"
"09/09/2024 19:00 - 09/09/2024 19:15","Spain (ES)","29176.00","28913.00"
"09/09/2024 19:15 - 09/09/2024 19:30","Spain (ES)","29320.00","29080.00"
"09/09/2024 19:30 - 09/09/2024 19:45","Spain (ES)","29532.00","29299.00"
"09/09/2024 19:45 - 09/09/2024 20:00","Spain (ES)","29696.00","29567.00"
"09/09/2024 20:00 - 09/09/2024 20:15","Spain (ES)","29904.00","29850.00"
"09/09/2024 20:15 - 09/09/2024 20:30","Spain (ES)","30020.00","30197.00"
"09/09/2024 20:30 - 09/09/2024 20:45","Spain (ES)","30460.00","30560.00"
"09/09/2024 20:45 - 09/09/2024 21:00","Spain (ES)","31176.00","30857.00"
"09/09/2024 21:00 - 09/09/2024 21:15","Spain (ES)","31768.00","31529.00"
"09/09/2024 21:15 - 09/09/2024 21:30","Spain (ES)","31656.00","31406.00"
"09/09/2024 21:30 - 09/09/2024 21:45","Spain (ES)","31660.00","30961.00"
"09/09/2024 21:45 - 09/09/2024 22:00","Spain (ES)","31064.00","30279.00"
"09/09/2024 22:00 - 09/09/2024 22:15","Spain (ES)","30296.00","29441.00"
"09/09/2024 22:15 - 09/09/2024 22:30","Spain (ES)","29492.00","28653.00"
"09/09/2024 22:30 - 09/09/2024 22:45","Spain (ES)","28968.00","27969.00"
"09/09/2024 22:45 - 09/09/2024 23:00","Spain (ES)","28232.00","27388.00"
"09/09/2024 23:00 - 09/09/2024 23:15","Spain (ES)","27728.00","26811.00"
"09/09/2024 23:15 - 09/09/2024 23:30","Spain (ES)","27176.00","26363.00"
"09/09/2024 23:30 - 09/09/2024 23:45","Spain (ES)","26484.00","25946.00"
"09/09/2024 23:45 - 10/09/2024 00:00","Spain (ES)","26040.00","25553.00"
"10/09/2024 00:00 - 10/09/2024 00:15","Spain (ES)","25528.00","25030.00"
"10/09/2024 00:15 - 10/09/2024 00:30","Spain (ES)","25136.00","24654.00"
"10/09/2024 00:30 - 10/09/2024 00:45","Spain (ES)","24904.00","24320.00"
"10/09/2024 00:45 - 10/09/2024 01:00","Spain (ES)","24452.00","24022.00"
"10/09/2024 01:00 - 10/09/2024 01:15","Spain (ES)","24172.00","23722.00"
"10/09/2024 01:15 - 10/09/2024 01:30","Spain (ES)","23796.00","23470.00"
"10/09/2024 01:30 - 10/09/2024 01:45","Spain (ES)","23656.00","23230.00"
"10/09/2024 01:45 - 10/09/2024 02:00","Spain (ES)","23212.00","23010.00"
"10/09/2024 02:00 - 10/09/2024 02:15","Spain (ES)","23076.00","22743.00"
"10/09/2024 02:15 - 10/09/2024 02:30","Spain (ES)","22904.00","22594.00"
"10/09/2024 02:30 - 10/09/2024 02:45","Spain (ES)","22620.00","22491.00"
"10/09/2024 02:45 - 10/09/2024 03:00","Spain (ES)","22564.00","22421.00"
"10/09/2024 03:00 - 10/09/2024 03:15","Spain (ES)","22524.00","22377.00"
"10/09/2024 03:15 - 10/09/2024 03:30","Spain (ES)","22252.00","22316.00"
"10/09/2024 03:30 - 10/09/2024 03:45","Spain (ES)","22136.00","22238.00"
"10/09/2024 03:45 - 10/09/2024 04:00","Spain (ES)","22044.00","22154.00"
"10/09/2024 04:00 - 10/09/2024 04:15","Spain (ES)","22088.00","22009.00"
"10/09/2024 04:15 - 10/09/2024 04:30","Spain (ES)","22188.00","21964.00"
"10/09/2024 04:30 - 10/09/2024 04:45","Spain (ES)","21996.00","21965.00"
"10/09/2024 04:45 - 10/09/2024 05:00","Spain (ES)","22104.00","22033.00"
"10/09/2024 05:00 - 10/09/2024 05:15","Spain (ES)","22040.00","21965.00"
"10/09/2024 05:15 - 10/09/2024 05:30","Spain (ES)","22292.00","22234.00"
"10/09/2024 05:30 - 10/09/2024 05:45","Spain (ES)","22512.00","22631.00"
"10/09/2024 05:45 - 10/09/2024 06:00","Spain (ES)","22584.00","23145.00"
"10/09/2024 06:00 - 10/09/2024 06:15","Spain (ES)","22612.00","23654.00"
"10/09/2024 06:15 - 10/09/2024 06:30","Spain (ES)","23716.00","24348.00"
"10/09/2024 06:30 - 10/09/2024 06:45","Spain (ES)","24408.00","25101.00"
"10/09/2024 06:45 - 10/09/2024 07:00","Spain (ES)","24976.00","25863.00"
"10/09/2024 07:00 - 10/09/2024 07:15","Spain (ES)","25568.00","26848.00"
"10/09/2024 07:15 - 10/09/2024 07:30","Spain (ES)","26684.00","27462.00"
"10/09/2024 07:30 - 10/09/2024 07:45","Spain (ES)","27508.00","27927.00"
"10/09/2024 07:45 - 10/09/2024 08:00","Spain (ES)","27984.00","28258.00"
"10/09/2024 08:00 - 10/09/2024 08:15","Spain (ES)","27956.00","28619.00"
"10/09/2024 08:15 - 10/09/2024 08:30","Spain (ES)","28428.00","28778.00"
"10/09/2024 08:30 - 10/09/2024 08:45","Spain (ES)","28700.00","28893.00"
"10/09/2024 08:45 - 10/09/2024 09:00","Spain (ES)","28804.00","28972.00"
"10/09/2024 09:00 - 10/09/2024 09:15","Spain (ES)","28904.00","29064.00"
"10/09/2024 09:15 - 10/09/2024 09:30","Spain (ES)","28928.00","29088.00"
"10/09/2024 09:30 - 10/09/2024 09:45","Spain (ES)","29044.00","29092.00"
"10/09/2024 09:45 - 10/09/2024 10:00","Spain (ES)","29048.00","29086.00"
"10/09/2024 10:00 - 10/09/2024 10:15","Spain (ES)","29036.00","29058.00"
"10/09/2024 10:15 - 10/09/2024 10:30","Spain (ES)","28796.00","29061.00"
"10/09/2024 10:30 - 10/09/2024 10:45","Spain (ES)","28932.00","29080.00"
"10/09/2024 10:45 - 10/09/2024 11:00","Spain (ES)","28988.00","29111.00"
"10/09/2024 11:00 - 10/09/2024 11:15","Spain (ES)","28792.00","29154.00"
"10/09/2024 11:15 - 10/09/2024 11:30","Spain (ES)","28752.00","29184.00"
"10/09/2024 11:30 - 10/09/2024 11:45","Spain (ES)","28736.00","29205.00"
"10/09/2024 11:45 - 10/09/2024 12:00","Spain (ES)","28712.00","29227.00"
"10/09/2024 12:00 - 10/09/2024 12:15","Spain (ES)","28636.00","29216.00"
"10/09/2024 12:15 - 10/09/2024 12:30","Spain (ES)","28588.00","29273.00"
"10/09/2024 12:30 - 10/09/2024 12:45","Spain (ES)","28640.00","29360.00"
"10/09/2024 12:45 - 10/09/2024 13:00","Spain (ES)","28740.00","29454.00"
"10/09/2024 13:00 - 10/09/2024 13:15","Spain (ES)","28876.00","29635.00"
"10/09/2024 13:15 - 10/09/2024 13:30","Spain (ES)","29112.00","29659.00"
"10/09/2024 13:30 - 10/09/2024 13:45","Spain (ES)","29168.00","29613.00"
"10/09/2024 13:45 - 10/09/2024 14:00","Spain (ES)","29196.00","29509.00"
"10/09/2024 14:00 - 10/09/2024 14:15","Spain (ES)","29236.00","29393.00"
"10/09/2024 14:15 - 10/09/2024 14:30","Spain (ES)","29032.00","29228.00"
"10/09/2024 14:30 - 10/09/2024 14:45","Spain (ES)","28892.00","29060.00"
"10/09/2024 14:45 - 10/09/2024 15:00","Spain (ES)","28772.00","28901.00"
"10/09/2024 15:00 - 10/09/2024 15:15","Spain (ES)","28464.00","28693.00"
"10/09/2024 15:15 - 10/09/2024 15:30","Spain (ES)","28308.00","28588.00"
"10/09/2024 15:30 - 10/09/2024 15:45","Spain (ES)","28252.00","28525.00"
"10/09/2024 15:45 - 10/09/2024 16:00","Spain (ES)","28180.00","28507.00"
"10/09/2024 16:00 - 10/09/2024 16:15","Spain (ES)","28180.00","28446.00"
"10/09/2024 16:15 - 10/09/2024 16:30","Spain (ES)","28176.00","28522.00"
"10/09/2024 16:30 - 10/09/2024 16:45","Spain (ES)","28008.00","28645.00"
"10/09/2024 16:45 - 10/09/2024 17:00","Spain (ES)","28168.00","28798.00"
"10/09/2024 17:00 - 10/09/2024 17:15","Spain (ES)","28400.00","28988.00"
"10/09/2024 17:15 - 10/09/2024 17:30","Spain (ES)","28504.00","29148.00"
"10/09/2024 17:30 - 10/09/2024 17:45","Spain (ES)","28804.00","29287.00"
"10/09/2024 17:45 - 10/09/2024 18:00","Spain (ES)","28872.00","29405.00"
"10/09/2024 18:00 - 10/09/2024 18:15","Spain (ES)","29016.00","29527.00"
"10/09/2024 18:15 - 10/09/2024 18:30","Spain (ES)","29152.00","29610.00"
"10/09/2024 18:30 - 10/09/2024 18:45","Spain (ES)","29420.00","29683.00"
"10/09/2024 18:45 - 10/09/2024 19:00","Spain (ES)","29508.00","29765.00"
"10/09/2024 19:00 - 10/09/2024 19:15","Spain (ES)","29596.00","29768.00"
"10/09/2024 19:15 - 10/09/2024 19:30","Spain (ES)","29980.00","29940.00"
"10/09/2024 19:30 - 10/09/2024 19:45","Spain (ES)","29976.00","30183.00"
"10/09/2024 19:45 - 10/09/2024 20:00","Spain (ES)","30412.00","30476.00"
"10/09/2024 20:00 - 10/09/2024 20:15","Spain (ES)","30584.00","30855.00"
"10/09/2024 20:15 - 10/09/2024 20:30","Spain (ES)","30928.00","31154.00"
"10/09/2024 20:30 - 10/09/2024 20:45","Spain (ES)","31352.00","31407.00"
"10/09/2024 20:45 - 10/09/2024 21:00","Spain (ES)","32064.00","31557.00"
"10/09/2024 21:00 - 10/09/2024 21:15","Spain (ES)","32464.00","31996.00"
"10/09/2024 21:15 - 10/09/2024 21:30","Spain (ES)","32420.00","31762.00"
"10/09/2024 21:30 - 10/09/2024 21:45","Spain (ES)","32244.00","31270.00"
"10/09/2024 21:45 - 10/09/2024 22:00","Spain (ES)","31772.00","30588.00"
"10/09/2024 22:00 - 10/09/2024 22:15","Spain (ES)","30804.00","29796.00"
"10/09/2024 22:15 - 10/09/2024 22:30","Spain (ES)","29884.00","29022.00"
"10/09/2024 22:30 - 10/09/2024 22:45","Spain (ES)","29344.00","28324.00"
"10/09/2024 22:45 - 10/09/2024 23:00","Spain (ES)","28652.00","27704.00"
"10/09/2024 23:00 - 10/09/2024 23:15","Spain (ES)","27952.00","27089.00"
"10/09/2024 23:15 - 10/09/2024 23:30","Spain (ES)","27240.00","26569.00"
"10/09/2024 23:30 - 10/09/2024 23:45","Spain (ES)","26672.00","26076.00"
"10/09/2024 23:45 - 11/09/2024 00:00","Spain (ES)","25992.00","25616.00"
"11/09/2024 00:00 - 11/09/2024 00:15","Spain (ES)","25548.00","25551.00"
"11/09/2024 00:15 - 11/09/2024 00:30","Spain (ES)","25436.00","25243.00"
"11/09/2024 00:30 - 11/09/2024 00:45","Spain (ES)","25412.00","24947.00"
"11/09/2024 00:45 - 11/09/2024 01:00","Spain (ES)","24932.00","24663.00"
"11/09/2024 01:00 - 11/09/2024 01:15","Spain (ES)","24684.00","24370.00"
"11/09/2024 01:15 - 11/09/2024 01:30","Spain (ES)","24372.00","24110.00"
"11/09/2024 01:30 - 11/09/2024 01:45","Spain (ES)","24056.00","23864.00"
"11/09/2024 01:45 - 11/09/2024 02:00","Spain (ES)","23800.00","23634.00"
"11/09/2024 02:00 - 11/09/2024 02:15","Spain (ES)","23456.00","23385.00"
"11/09/2024 02:15 - 11/09/2024 02:30","Spain (ES)","23344.00","23189.00"
"11/09/2024 02:30 - 11/09/2024 02:45","Spain (ES)","23088.00","23013.00"
"11/09/2024 02:45 - 11/09/2024 03:00","Spain (ES)","22896.00","22864.00"
"11/09/2024 03:00 - 11/09/2024 03:15","Spain (ES)","22688.00","22672.00"
"11/09/2024 03:15 - 11/09/2024 03:30","Spain (ES)","22600.00","22596.00"
"11/09/2024 03:30 - 11/09/2024 03:45","Spain (ES)","22536.00","22562.00"
"11/09/2024 03:45 - 11/09/2024 04:00","Spain (ES)","22584.00","22554.00"
"11/09/2024 04:00 - 11/09/2024 04:15","Spain (ES)","22384.00","22575.00"
"11/09/2024 04:15 - 11/09/2024 04:30","Spain (ES)","22436.00","22561.00"
"11/09/2024 04:30 - 11/09/2024 04:45","Spain (ES)","22360.00","22525.00"
"11/09/2024 04:45 - 11/09/2024 05:00","Spain (ES)","22324.00","22501.00"
"11/09/2024 05:00 - 11/09/2024 05:15","Spain (ES)","22256.00","22316.00"
"11/09/2024 05:15 - 11/09/2024 05:30","Spain (ES)","22416.00","22449.00"
"11/09/2024 05:30 - 11/09/2024 05:45","Spain (ES)","22372.00","22716.00"
"11/09/2024 05:45 - 11/09/2024 06:00","Spain (ES)","22676.00","23105.00"
"11/09/2024 06:00 - 11/09/2024 06:15","Spain (ES)","22880.00","23491.00"
