Time_Interval,Country_Area,Total_Generation
01/02/2024 18:30:00 - 01/02/2024 18:45:00,Spain (ES),31400
01/02/2024 18:45:00 - 01/02/2024 19:00:00,Spain (ES),32296
01/02/2024 19:00:00 - 01/02/2024 19:15:00,Spain (ES),33664
01/02/2024 19:15:00 - 01/02/2024 19:30:00,Spain (ES),33552
01/02/2024 19:30:00 - 01/02/2024 19:45:00,Spain (ES),33704
01/02/2024 19:45:00 - 01/02/2024 20:00:00,Spain (ES),34000
01/02/2024 20:00:00 - 01/02/2024 20:15:00,Spain (ES),34140
01/02/2024 20:15:00 - 01/02/2024 20:30:00,Spain (ES),32532
01/02/2024 20:30:00 - 01/02/2024 20:45:00,Spain (ES),32540
01/02/2024 20:45:00 - 01/02/2024 21:00:00,Spain (ES),32748
01/02/2024 21:00:00 - 01/02/2024 21:15:00,Spain (ES),32704
01/02/2024 21:15:00 - 01/02/2024 21:30:00,Spain (ES),33188
01/02/2024 21:30:00 - 01/02/2024 21:45:00,Spain (ES),32644
01/02/2024 21:45:00 - 01/02/2024 22:00:00,Spain (ES),31876
01/02/2024 22:00:00 - 01/02/2024 22:15:00,Spain (ES),31180
01/02/2024 22:15:00 - 01/02/2024 22:30:00,Spain (ES),31908
01/02/2024 22:30:00 - 01/02/2024 22:45:00,Spain (ES),31748
01/02/2024 22:45:00 - 01/02/2024 23:00:00,Spain (ES),30744
01/02/2024 23:00:00 - 01/02/2024 23:15:00,Spain (ES),29868
01/02/2024 23:15:00 - 01/02/2024 23:30:00,Spain (ES),30248
01/02/2024 23:30:00 - 01/02/2024 23:45:00,Spain (ES),29768
01/02/2024 23:45:00 - 02/02/2024 00:00:00,Spain (ES),29416
01/03/2024 00:00:00 - 01/03/2024 00:15:00,Spain (ES),30392
01/03/2024 00:15:00 - 01/03/2024 00:30:00,Spain (ES),29496
01/03/2024 00:30:00 - 01/03/2024 00:45:00,Spain (ES),29244
01/03/2024 00:45:00 - 01/03/2024 01:00:00,Spain (ES),28900
01/03/2024 01:00:00 - 01/03/2024 01:15:00,Spain (ES),28156
01/03/2024 01:15:00 - 01/03/2024 01:30:00,Spain (ES),28140
01/03/2024 01:30:00 - 01/03/2024 01:45:00,Spain (ES),28264
01/03/2024 01:45:00 - 01/03/2024 02:00:00,Spain (ES),27856
01/03/2024 02:00:00 - 01/03/2024 02:15:00,Spain (ES),27868
01/03/2024 02:15:00 - 01/03/2024 02:30:00,Spain (ES),27668
01/03/2024 02:30:00 - 01/03/2024 02:45:00,Spain (ES),27312
01/03/2024 02:45:00 - 01/03/2024 03:00:00,Spain (ES),27188
01/03/2024 03:00:00 - 01/03/2024 03:15:00,Spain (ES),27048
01/03/2024 03:15:00 - 01/03/2024 03:30:00,Spain (ES),27092
01/03/2024 03:30:00 - 01/03/2024 03:45:00,Spain (ES),27164
01/03/2024 03:45:00 - 01/03/2024 04:00:00,Spain (ES),27028
01/03/2024 04:00:00 - 01/03/2024 04:15:00,Spain (ES),26912
01/03/2024 04:15:00 - 01/03/2024 04:30:00,Spain (ES),26908
01/03/2024 04:30:00 - 01/03/2024 04:45:00,Spain (ES),26848
01/03/2024 04:45:00 - 01/03/2024 05:00:00,Spain (ES),26928
01/03/2024 05:00:00 - 01/03/2024 05:15:00,Spain (ES),26928
