"MTU","Out Area","In Area","Physical Flow (MW)"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","France (FR)","Spain (ES)","1069.13"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","Spain (ES)","Portugal (PT)","3005.91"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","France (FR)","Spain (ES)","823.32"
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","Spain (ES)","Portugal (PT)","3043.55"
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","France (FR)","Spain (ES)","137.84"
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","Spain (ES)","Portugal (PT)","2909.56"
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","France (FR)","Spain (ES)","1178.13"
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","Spain (ES)","Portugal (PT)","2889.87"
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","France (FR)","Spain (ES)","501.83"
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","Spain (ES)","Portugal (PT)","2060.39"
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","France (FR)","Spain (ES)","544.86"
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","Spain (ES)","Portugal (PT)","1398.97"
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","France (FR)","Spain (ES)","386.13"
