"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2023 07:30 - 02/01/2023 07:45","CTA|ES","22760.00","22920.00"
"02/01/2023 07:45 - 02/01/2023 08:00","CTA|ES","23304.00","23590.00"
"02/01/2023 08:00 - 02/01/2023 08:15","CTA|ES","23980.00","24406.00"
"02/01/2023 08:15 - 02/01/2023 08:30","CTA|ES","24240.00","24945.00"
"02/01/2023 08:30 - 02/01/2023 08:45","CTA|ES","24536.00","25382.00"
"02/01/2023 08:45 - 02/01/2023 09:00","CTA|ES","24700.00","25743.00"
"02/01/2023 09:00 - 02/01/2023 09:15","CTA|ES","25228.00","26079.00"
"02/01/2023 09:15 - 02/01/2023 09:30","CTA|ES","25656.00","26388.00"
"02/01/2023 09:30 - 02/01/2023 09:45","CTA|ES","26012.00","26713.00"
"02/01/2023 09:45 - 02/01/2023 10:00","CTA|ES","26292.00","27034.00"
"02/01/2023 10:00 - 02/01/2023 10:15","CTA|ES","26516.00","27455.00"
"02/01/2023 10:15 - 02/01/2023 10:30","CTA|ES","26780.00","27685.00"
"02/01/2023 10:30 - 02/01/2023 10:45","CTA|ES","27080.00","27835.00"
"02/01/2023 10:45 - 02/01/2023 11:00","CTA|ES","27200.00","27921.00"
"02/01/2023 11:00 - 02/01/2023 11:15","CTA|ES","27204.00","27981.00"
"02/01/2023 11:15 - 02/01/2023 11:30","CTA|ES","27180.00","28019.00"
"02/01/2023 11:30 - 02/01/2023 11:45","CTA|ES","27144.00","28066.00"
"02/01/2023 11:45 - 02/01/2023 12:00","CTA|ES","27112.00","28121.00"
"02/01/2023 12:00 - 02/01/2023 12:15","CTA|ES","27220.00","28194.00"
"02/01/2023 12:15 - 02/01/2023 12:30","CTA|ES","27232.00","28242.00"
"02/01/2023 12:30 - 02/01/2023 12:45","CTA|ES","27192.00","28275.00"
"02/01/2023 12:45 - 02/01/2023 13:00","CTA|ES","27332.00","28293.00"
"02/01/2023 13:00 - 02/01/2023 13:15","CTA|ES","27452.00","28331.00"
"02/01/2023 13:15 - 02/01/2023 13:30","CTA|ES","27632.00","28318.00"
"02/01/2023 13:30 - 02/01/2023 13:45","CTA|ES","27676.00","28288.00"
"02/01/2023 13:45 - 02/01/2023 14:00","CTA|ES","27832.00","28236.00"
"02/01/2023 14:00 - 02/01/2023 14:15","CTA|ES","27868.00","28219.00"
"02/01/2023 14:15 - 02/01/2023 14:30","CTA|ES","27736.00","28104.00"
"02/01/2023 14:30 - 02/01/2023 14:45","CTA|ES","27532.00","27953.00"
"02/01/2023 14:45 - 02/01/2023 15:00","CTA|ES","27336.00","27785.00"
"02/01/2023 15:00 - 02/01/2023 15:15","CTA|ES","27116.00","27552.00"
"02/01/2023 15:15 - 02/01/2023 15:30","CTA|ES","26980.00","27423.00"
"02/01/2023 15:30 - 02/01/2023 15:45","CTA|ES","26944.00","27344.00"
