"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"09/01/2022 06:00 - 09/01/2022 07:00","CTA|ES","20873.00","21001.00"
"09/01/2022 07:00 - 09/01/2022 08:00","CTA|ES","21535.00","21644.00"
"09/01/2022 08:00 - 09/01/2022 09:00","CTA|ES","22175.00","22292.00"
"09/01/2022 09:00 - 09/01/2022 10:00","CTA|ES","24018.00","24148.00"
"09/01/2022 10:00 - 09/01/2022 11:00","CTA|ES","26046.00","26220.00"
"09/01/2022 11:00 - 09/01/2022 12:00","CTA|ES","27195.00","26855.00"
"09/01/2022 12:00 - 09/01/2022 13:00","CTA|ES","27654.00","27003.00"
"09/01/2022 13:00 - 09/01/2022 14:00","CTA|ES","28513.00","27215.00"
"09/01/2022 14:00 - 09/01/2022 15:00","CTA|ES","28661.00","27707.00"
"09/01/2022 15:00 - 09/01/2022 16:00","CTA|ES","27297.00","26663.00"
"09/01/2022 16:00 - 09/01/2022 17:00","CTA|ES","26375.00","26012.00"
"09/01/2022 17:00 - 09/01/2022 18:00","CTA|ES","26563.00","26208.00"
"09/01/2022 18:00 - 09/01/2022 19:00","CTA|ES","28870.00","28413.00"
"09/01/2022 19:00 - 09/01/2022 20:00","CTA|ES","30485.00","29855.00"
"09/01/2022 20:00 - 09/01/2022 21:00","CTA|ES","31495.00","30907.00"
"09/01/2022 21:00 - 09/01/2022 22:00","CTA|ES","31201.00","30869.00"
"09/01/2022 22:00 - 09/01/2022 23:00","CTA|ES","28827.00","29162.00"
"09/01/2022 23:00 - 10/01/2022 00:00","CTA|ES","26133.00","26630.00"
"10/01/2022 00:00 - 10/01/2022 01:00","CTA|ES","24133.00","24100.00"
"10/01/2022 01:00 - 10/01/2022 02:00","CTA|ES","22429.00","22453.00"
"10/01/2022 02:00 - 10/01/2022 03:00","CTA|ES","21564.00","21402.00"
"10/01/2022 03:00 - 10/01/2022 04:00","CTA|ES","21061.00","20939.00"
"10/01/2022 04:00 - 10/01/2022 05:00","CTA|ES","21254.00","20936.00"
"10/01/2022 05:00 - 10/01/2022 06:00","CTA|ES","22053.00","21743.00"
"10/01/2022 06:00 - 10/01/2022 07:00","CTA|ES","25328.00","24620.00"
"10/01/2022 07:00 - 10/01/2022 08:00","CTA|ES","29847.00","28567.00"
"10/01/2022 08:00 - 10/01/2022 09:00","CTA|ES","32334.00","30950.00"
"10/01/2022 09:00 - 10/01/2022 10:00","CTA|ES","33103.00","32012.00"
"10/01/2022 10:00 - 10/01/2022 11:00","CTA|ES","33815.00","32850.00"
"10/01/2022 11:00 - 10/01/2022 12:00","CTA|ES","33804.00","32852.00"
"10/01/2022 12:00 - 10/01/2022 13:00","CTA|ES","33977.00","33035.00"
"10/01/2022 13:00 - 10/01/2022 14:00","CTA|ES","33911.00","33200.00"
"10/01/2022 14:00 - 10/01/2022 15:00","CTA|ES","33422.00","32999.00"
"10/01/2022 15:00 - 10/01/2022 16:00","CTA|ES","32533.00","32229.00"
"10/01/2022 16:00 - 10/01/2022 17:00","CTA|ES","31995.00","31848.00"
"10/01/2022 17:00 - 10/01/2022 18:00","CTA|ES","32044.00","32053.00"
"10/01/2022 18:00 - 10/01/2022 19:00","CTA|ES","33498.00","33601.00"
"10/01/2022 19:00 - 10/01/2022 20:00","CTA|ES","34548.00","34450.00"
"10/01/2022 20:00 - 10/01/2022 21:00","CTA|ES","34981.00","34899.00"
"10/01/2022 21:00 - 10/01/2022 22:00","CTA|ES","34066.00","34058.00"
"10/01/2022 22:00 - 10/01/2022 23:00","CTA|ES","30896.00","30793.00"
"10/01/2022 23:00 - 11/01/2022 00:00","CTA|ES","28080.00","27783.00"
"11/01/2022 00:00 - 11/01/2022 01:00","CTA|ES","26557.00","25939.00"
"11/01/2022 01:00 - 11/01/2022 02:00","CTA|ES","24788.00","24225.00"
"11/01/2022 02:00 - 11/01/2022 03:00","CTA|ES","23814.00","23154.00"
"11/01/2022 03:00 - 11/01/2022 04:00","CTA|ES","23397.00","22735.00"
"11/01/2022 04:00 - 11/01/2022 05:00","CTA|ES","23319.00","22752.00"
"11/01/2022 05:00 - 11/01/2022 06:00","CTA|ES","24035.00","23384.00"
